token	corpus size	all contexts size	frequency	co-frequency	specificity
этот	12481	2576	2	2	1.37
либо	12481	2576	2	2	1.37
По	12481	2576	2	2	1.37
модный	12481	2576	2	2	1.37
свое	12481	2576	2	2	1.37
отвечает	12481	2576	2	2	1.37
существование	12481	2576	2	2	1.37
Теплоту	12481	2576	2	2	1.37
открытого	12481	2576	2	2	1.37
заката	12481	2576	2	2	1.37
Хаотичный	12481	2576	2	2	1.37
контрастный	12481	2576	2	2	1.37
внутренний	12481	2576	2	2	1.37
смесь	12481	2576	2	2	1.37
категорию	12481	2576	2	2	1.37
темнее	12481	2576	2	2	1.37
предл	12481	2576	2	2	1.37
Ключевой	12481	2576	2	2	1.37
таким	12481	2576	2	2	1.37
Можно	12481	2576	2	2	1.37
рассеянное	12481	2576	2	2	1.37
исходит	12481	2576	2	2	1.37
определенные	12481	2576	2	2	1.37
Какой	12481	2576	2	2	1.37
людей	12481	2576	2	2	1.37
способствует	12481	2576	2	2	1.37
выработке	12481	2576	2	2	1.37
теплее	12481	2576	2	2	1.37
атмосферность	12481	2576	2	2	1.37
ночью	12481	2576	2	2	1.37
отражается	12481	2576	2	2	1.37
желто	12481	2576	2	2	1.37
Слева	12481	2576	2	2	1.37
справа	12481	2576	2	2	1.37
Важно	12481	2576	2	2	1.37
Также	12481	2576	2	2	1.37
нему	12481	2576	2	2	1.37
использовали	12481	2576	2	2	1.37
электрический	12481	2576	2	2	1.37
неоновый	12481	2576	2	2	1.37
улучшает	12481	2576	2	2	1.37
Резкий	12481	2576	2	2	1.37
Яркий	12481	2576	2	2	1.37
около	12481	2576	2	2	1.37
удобен	12481	2576	2	2	1.37
пламени	12481	2576	2	2	1.37
попадать	12481	2576	2	2	1.37
Лазарев	12481	2576	2	2	1.37
альбом	12481	2576	2	2	1.37
названием	12481	2576	2	2	1.37
есть	12481	2576	11	5	1.36
от	12481	2576	56	16	1.36
Как	12481	2576	35	11	1.33
более	12481	2576	19	7	1.30
поэтому	12481	2576	8	4	1.30
Чем	12481	2576	8	4	1.30
6	12481	2576	5	3	1.26
Когда	12481	2576	5	3	1.26
котором	12481	2576	5	3	1.26
Солнце	12481	2576	5	3	1.26
образом	12481	2576	5	3	1.26
жизни	12481	2576	5	3	1.26
объект	12481	2576	5	3	1.26
равномерно	12481	2576	5	3	1.26
чем	12481	2576	12	5	1.23
чтобы	12481	2576	16	6	1.21
не	12481	2576	62	16	1.15
просто	12481	2576	9	4	1.14
настроение	12481	2576	9	4	1.14
или	12481	2576	67	17	1.14
3	12481	2576	13	5	1.12
ее	12481	2576	13	5	1.12
источника	12481	2576	13	5	1.12
состоит	12481	2576	6	3	1.06
лучше	12481	2576	18	6	1.05
всего	12481	2576	10	4	1.02
также	12481	2576	10	4	1.02
предметы	12481	2576	3	2	0.99
заря	12481	2576	3	2	0.99
Введение	12481	2576	3	2	0.99
электронов	12481	2576	3	2	0.99
обладает	12481	2576	3	2	0.99
самый	12481	2576	3	2	0.99
свой	12481	2576	3	2	0.99
напрямую	12481	2576	3	2	0.99
Таким	12481	2576	3	2	0.99
предметов	12481	2576	3	2	0.99
вызывает	12481	2576	3	2	0.99
поскольку	12481	2576	3	2	0.99
включая	12481	2576	3	2	0.99
весь	12481	2576	3	2	0.99
большой	12481	2576	3	2	0.99
рядом	12481	2576	3	2	0.99
ваш	12481	2576	3	2	0.99
выше	12481	2576	3	2	0.99
температура	12481	2576	3	2	0.99
o	12481	2576	3	2	0.99
прямого	12481	2576	3	2	0.99
уровень	12481	2576	3	2	0.99
светодиодный	12481	2576	3	2	0.99
этой	12481	2576	3	2	0.99
глаза	12481	2576	15	5	0.95
К	12481	2576	15	5	0.95
только	12481	2576	20	6	0.93
же	12481	2576	11	4	0.93
люди	12481	2576	7	3	0.91
себя	12481	2576	7	3	0.91
В	12481	2576	62	13	0.91
того	12481	2576	12	4	0.85
солнца	12481	2576	12	4	0.85
1	12481	2576	22	6	0.85
то	12481	2576	17	5	0.84
бы	12481	2576	8	3	0.81
часто	12481	2576	8	3	0.81
цветовой	12481	2576	8	3	0.81
является	12481	2576	18	5	0.80
2	12481	2576	18	5	0.80
из	12481	2576	30	7	0.80
сделать	12481	2576	4	2	0.79
этим	12481	2576	4	2	0.79
этого	12481	2576	4	2	0.79
излучаемый	12481	2576	4	2	0.79
накаливания	12481	2576	4	2	0.79
Из	12481	2576	4	2	0.79
которых	12481	2576	4	2	0.79
цветов	12481	2576	4	2	0.79
распространяется	12481	2576	4	2	0.79
виде	12481	2576	4	2	0.79
картине	12481	2576	4	2	0.79
электрической	12481	2576	4	2	0.79
огня	12481	2576	4	2	0.79
них	12481	2576	4	2	0.79
такого	12481	2576	4	2	0.79
делает	12481	2576	4	2	0.79
ему	12481	2576	4	2	0.79
проникающий	12481	2576	4	2	0.79
безопасности	12481	2576	4	2	0.79
за	12481	2576	19	5	0.77
когда	12481	2576	9	3	0.73
мир	12481	2576	9	3	0.73
например	12481	2576	9	3	0.73
Например	12481	2576	9	3	0.73
быть	12481	2576	15	4	0.71
милый	12481	2576	1	1	0.69
статный	12481	2576	1	1	0.69
тайный	12481	2576	1	1	0.69
хижине	12481	2576	1	1	0.69
горит	12481	2576	1	1	0.69
разбойники	12481	2576	1	1	0.69
пьют	12481	2576	1	1	0.69
поют	12481	2576	1	1	0.69
песни	12481	2576	1	1	0.69
танцуют	12481	2576	1	1	0.69
гадают	12481	2576	1	1	0.69
различать	12481	2576	1	1	0.69
уподоблялся	12481	2576	1	1	0.69
зрению	12481	2576	1	1	0.69
очередь	12481	2576	1	1	0.69
зрение	12481	2576	1	1	0.69
нередко	12481	2576	1	1	0.69
мизюкатъ	12481	2576	1	1	0.69
мизюритъ	12481	2576	1	1	0.69
худо	12481	2576	1	1	0.69
смотреть	12481	2576	1	1	0.69
веки	12481	2576	1	1	0.69
мигать	12481	2576	1	1	0.69
заступать	12481	2576	1	1	0.69
говоря	12481	2576	1	1	0.69
сверкать	12481	2576	1	1	0.69
обомарот	12481	2576	1	1	0.69
обманщик	12481	2576	1	1	0.69
малорус	12481	2576	1	1	0.69
завязать	12481	2576	1	1	0.69
кого	12481	2576	1	1	0.69
домашнею	12481	2576	1	1	0.69
кровлею	12481	2576	1	1	0.69
роднит	12481	2576	1	1	0.69
отождествляет	12481	2576	1	1	0.69
понятия	12481	2576	1	1	0.69
светец	12481	2576	1	1	0.69
ночник	12481	2576	1	1	0.69
рассветитъ	12481	2576	1	1	0.69
зажечь	12481	2576	1	1	0.69
лучину	12481	2576	1	1	0.69
запала	12481	2576	1	1	0.69
мгла	12481	2576	1	1	0.69
покрыла	12481	2576	1	1	0.69
Слова	12481	2576	1	1	0.69
нечистая	12481	2576	1	1	0.69
сила	12481	2576	1	1	0.69
проч	12481	2576	1	1	0.69
Сухое	12481	2576	1	1	0.69
выражением	12481	2576	1	1	0.69
наверняка	12481	2576	1	1	0.69
помнят	12481	2576	1	1	0.69
явления	12481	2576	1	1	0.69
уроков	12481	2576	1	1	0.69
дисплеем	12481	2576	1	1	0.69
преобразует	12481	2576	1	1	0.69
полученную	12481	2576	1	1	0.69
информацию	12481	2576	1	1	0.69
конкретные	12481	2576	1	1	0.69
значит	12481	2576	1	1	0.69
первоначальном	12481	2576	1	1	0.69
2020	12481	2576	1	1	0.69
Почему	12481	2576	1	1	0.69
важен	12481	2576	1	1	0.69
неученые	12481	2576	1	1	0.69
считаем	12481	2576	1	1	0.69
само	12481	2576	1	1	0.69
разумеющимся	12481	2576	1	1	0.69
задумываемся	12481	2576	1	1	0.69
приоткрывает	12481	2576	1	1	0.69
завесу	12481	2576	1	1	0.69
вопросом	12481	2576	1	1	0.69
Заключение	12481	2576	1	1	0.69
Раздвигаем	12481	2576	1	1	0.69
занавески	12481	2576	1	1	0.69
Откуда	12481	2576	1	1	0.69
разделить	12481	2576	1	1	0.69
приводя	12481	2576	1	1	0.69
движение	12481	2576	1	1	0.69
биологические	12481	2576	1	1	0.69
преобразуется	12481	2576	1	1	0.69
Лампы	12481	2576	1	1	0.69
создают	12481	2576	1	1	0.69
электрическая	12481	2576	1	1	0.69
нагревает	12481	2576	1	1	0.69
генерируют	12481	2576	1	1	0.69
путем	12481	2576	1	1	0.69
возбуждения	12481	2576	1	1	0.69
молекул	12481	2576	1	1	0.69
затем	12481	2576	1	1	0.69
создающее	12481	2576	1	1	0.69
светодиодах	12481	2576	1	1	0.69
светоизлучающих	12481	2576	1	1	0.69
диодах	12481	2576	1	1	0.69
термоядерных	12481	2576	1	1	0.69
реакций	12481	2576	1	1	0.69
принципом	12481	2576	1	1	0.69
Следовательно	12481	2576	1	1	0.69
кроется	12481	2576	1	1	0.69
поведении	12481	2576	1	1	0.69
непрерывный	12481	2576	1	1	0.69
воспринимаем	12481	2576	1	1	0.69
фундаментальной	12481	2576	1	1	0.69
постоянному	12481	2576	1	1	0.69
Легко	12481	2576	1	1	0.69
отскакивает	12481	2576	1	1	0.69
водянистые	12481	2576	1	1	0.69
Был	12481	2576	1	1	0.69
проведен	12481	2576	1	1	0.69
Двойная	12481	2576	1	1	0.69
щель	12481	2576	1	1	0.69
пропускали	12481	2576	1	1	0.69
проходят	12481	2576	1	1	0.69
Поскольку	12481	2576	1	1	0.69
ведет	12481	2576	1	1	0.69
решено	12481	2576	1	1	0.69
другое	12481	2576	1	1	0.69
1Из	12481	2576	1	1	0.69
оптика	12481	2576	1	1	0.69
электрические	12481	2576	1	1	0.69
высока	12481	2576	1	1	0.69
длина	12481	2576	1	1	0.69
инфракрасный	12481	2576	1	1	0.69
радиоволны	12481	2576	1	1	0.69
представлений	12481	2576	1	1	0.69
считал	12481	2576	1	1	0.69
сжатие	12481	2576	1	1	0.69
распространяющееся	12481	2576	1	1	0.69
принцип	12481	2576	1	1	0.69
наименьшего	12481	2576	1	1	0.69
соответствии	12481	2576	1	1	0.69
которым	12481	2576	1	1	0.69
окраски	12481	2576	1	1	0.69
тонких	12481	2576	1	1	0.69
пленок	12481	2576	1	1	0.69
Гук	12481	2576	1	1	0.69
предложил	12481	2576	1	1	0.69
состоящим	12481	2576	1	1	0.69
излучающего	12481	2576	1	1	0.69
Максвеллу	12481	2576	1	1	0.69
предсказать	12481	2576	1	1	0.69
сам	12481	2576	1	1	0.69
электромагнитными	12481	2576	1	1	0.69
волнами	12481	2576	1	1	0.69
формой	12481	2576	1	1	0.69
корпускулярно	12481	2576	1	1	0.69
волновым	12481	2576	1	1	0.69
дуализмом	12481	2576	1	1	0.69
двойственностью	12481	2576	1	1	0.69
свойств	12481	2576	1	1	0.69
распространения	12481	2576	1	1	0.69
1905	12481	2576	1	1	0.69
Альберт	12481	2576	1	1	0.69
Эйнштейн	12481	2576	1	1	0.69
открыл	12481	2576	1	1	0.69
фундаментом	12481	2576	1	1	0.69
Анималов	12481	2576	1	1	0.69
Природа	12481	2576	1	1	0.69
физике	12481	2576	1	1	0.69
свойства	12481	2576	1	1	0.69
природа	12481	2576	1	1	0.69
Hi	12481	2576	1	1	0.69
News	12481	2576	1	1	0.69
ru	12481	2576	1	1	0.69
23	12481	2576	1	1	0.69
августа	12481	2576	1	1	0.69
2015	12481	2576	1	1	0.69
используемый	12481	2576	1	1	0.69
экономить	12481	2576	1	1	0.69
электроэнергию	12481	2576	1	1	0.69
комнатах	12481	2576	1	1	0.69
разного	12481	2576	1	1	0.69
тюлем	12481	2576	1	1	0.69
пропускающим	12481	2576	1	1	0.69
портьеры	12481	2576	1	1	0.69
плотной	12481	2576	1	1	0.69
ткани	12481	2576	1	1	0.69
синтезу	12481	2576	1	1	0.69
мешает	12481	2576	1	1	0.69
повлиять	12481	2576	1	1	0.69
процесс	12481	2576	1	1	0.69
занятий	12481	2576	1	1	0.69
рукоделием	12481	2576	1	1	0.69
Желательно	12481	2576	1	1	0.69
фронтально	12481	2576	1	1	0.69
интерьерных	12481	2576	1	1	0.69
стилях	12481	2576	1	1	0.69
возможностях	12481	2576	1	1	0.69
зонирования	12481	2576	1	1	0.69
Стены	12481	2576	1	1	0.69
представленная	12481	2576	1	1	0.69
всем	12481	2576	1	1	0.69
многообразии	12481	2576	1	1	0.69
Тредиаковскому	12481	2576	1	1	0.69
За	12481	2576	1	1	0.69
уподоблением	12481	2576	1	1	0.69
скрывается	12481	2576	1	1	0.69
эпохи	12481	2576	1	1	0.69
животворный	12481	2576	1	1	0.69
даришь	12481	2576	1	1	0.69
монархини	12481	2576	1	1	0.69
соотносятся	12481	2576	1	1	0.69
лиющим	12481	2576	1	1	0.69
пространный	12481	2576	1	1	0.69
185	12481	2576	1	1	0.69
ранней	12481	2576	1	1	0.69
оде	12481	2576	1	1	0.69
Фелица	12481	2576	1	1	0.69
встречается	12481	2576	1	1	0.69
соотносимый	12481	2576	1	1	0.69
праведным	12481	2576	1	1	0.69
дарит	12481	2576	1	1	0.69
Отныне	12481	2576	1	1	0.69
темой	12481	2576	1	1	0.69
императорского	12481	2576	1	1	0.69
величия	12481	2576	1	1	0.69
Умолкли	12481	2576	1	1	0.69
голоса	12481	2576	1	1	0.69
покрытый	12481	2576	1	1	0.69
Истину	12481	2576	1	1	0.69
вольность	12481	2576	1	1	0.69
ясно	12481	2576	1	1	0.69
созвездье	12481	2576	1	1	0.69
вовек	12481	2576	1	1	0.69
632	12481	2576	1	1	0.69
Интересное	12481	2576	1	1	0.69
интернете	12481	2576	1	1	0.69
Нас	12481	2576	1	1	0.69
интересует	12481	2576	1	1	0.69
шестая	12481	2576	1	1	0.69
доказывает	12481	2576	1	1	0.69
опыт	12481	2576	1	1	0.69
прямым	12481	2576	1	1	0.69
линиям	12481	2576	1	1	0.69
накрывши	12481	2576	1	1	0.69
камеру	12481	2576	1	1	0.69
темной	12481	2576	1	1	0.69
материей	12481	2576	1	1	0.69
посторонний	12481	2576	1	1	0.69
мгновение	12481	2576	1	1	0.69
больших	12481	2576	1	1	0.69
размеров	12481	2576	1	1	0.69
стену	12481	2576	1	1	0.69
утомленные	12481	2576	1	1	0.69
глазного	12481	2576	1	1	0.69
дна	12481	2576	1	1	0.69
раньше	12481	2576	1	1	0.69
действовал	12481	2576	1	1	0.69
безразличных	12481	2576	1	1	0.69
вспомогательных	12481	2576	1	1	0.69
органов	12481	2576	1	1	0.69
животного	12481	2576	1	1	0.69
шел	12481	2576	1	1	0.69
навстречу	12481	2576	1	1	0.69
внешнему	12481	2576	1	1	0.69
Вероятно	12481	2576	1	1	0.69
содержащие	12481	2576	1	1	0.69
Белизна	12481	2576	1	1	0.69
разнородная	12481	2576	1	1	0.69
состоял	12481	2576	1	1	0.69
сорта	12481	2576	1	1	0.69
отстаивает	12481	2576	1	1	0.69
идею	12481	2576	1	1	0.69
неделимости	12481	2576	1	1	0.69
Анализируя	12481	2576	1	1	0.69
литературоведения	12481	2576	1	1	0.69
философскую	12481	2576	1	1	0.69
уступает	12481	2576	1	1	0.69
ориентированному	12481	2576	1	1	0.69
последствии	12481	2576	1	1	0.69
трансформируется	12481	2576	1	1	0.69
резкий	12481	2576	1	1	0.69
бытовой	12481	2576	1	1	0.69
лампочки	12481	2576	1	1	0.69
Ю	12481	2576	1	1	0.69
Смирнов	12481	2576	1	1	0.69
ничтожного	12481	2576	1	1	0.69
67	12481	2576	1	1	0.69
пик	12481	2576	1	1	0.69
солнечной	12481	2576	1	1	0.69
активности	12481	2576	1	1	0.69
земле	12481	2576	1	1	0.69
ясный	12481	2576	1	1	0.69
обнаруживается	12481	2576	1	1	0.69
внешние	12481	2576	1	1	0.69
идущие	12481	2576	1	1	0.69
Достоевский	12481	2576	1	1	0.69
виду	12481	2576	1	1	0.69
настоящему	12481	2576	1	1	0.69
озлоблены	12481	2576	1	1	0.69
замкнуты	12481	2576	1	1	0.69
излучают	12481	2576	1	1	0.69
Вся	12481	2576	1	1	0.69
душа	12481	2576	1	1	0.69
перешла	12481	2576	1	1	0.69
243	12481	2576	1	1	0.69
уничтожать	12481	2576	1	1	0.69
гасить	12481	2576	1	1	0.69
задувать	12481	2576	1	1	0.69
затмевать	12481	2576	1	1	0.69
делаться	12481	2576	1	1	0.69
тухнуть	12481	2576	1	1	0.69
гаснуть	12481	2576	1	1	0.69
глагол	12481	2576	1	1	0.69
сходным	12481	2576	1	1	0.69
значением	12481	2576	1	1	0.69
прекращать	12481	2576	1	1	0.69
Контексты	12481	2576	1	1	0.69
тушат	12481	2576	1	1	0.69
задувают	12481	2576	1	1	0.69
метафорические	12481	2576	1	1	0.69
ложный	12481	2576	1	1	0.69
заслоняет	12481	2576	1	1	0.69
затемняет	12481	2576	1	1	0.69
истинный	12481	2576	1	1	0.69
померкал	12481	2576	1	1	0.69
мгновениями	12481	2576	1	1	0.69
сознания	12481	2576	1	1	0.69
скоро	12481	2576	1	1	0.69
померк	12481	2576	1	1	0.69
Подобно	12481	2576	1	1	0.69
солнцу	12481	2576	1	1	0.69
имеющему	12481	2576	1	1	0.69
составляющих	12481	2576	1	1	0.69
греховной	12481	2576	1	1	0.69
небесной	12481	2576	1	1	0.69
духовности	12481	2576	1	1	0.69
истине	12481	2576	1	1	0.69
идти	12481	2576	1	1	0.69
постепенно	12481	2576	1	1	0.69
самых	12481	2576	1	1	0.69
далеких	12481	2576	1	1	0.69
звездах	12481	2576	1	1	0.69
постигнув	12481	2576	1	1	0.69
простых	12481	2576	1	1	0.69
истин	12481	2576	1	1	0.69
послы	12481	2576	1	1	0.69
Весь	12481	2576	1	1	0.69
Некрасов	12481	2576	1	1	0.69
Русские	12481	2576	1	1	0.69
женщины	12481	2576	1	1	0.69
Знаменитая	12481	2576	1	1	0.69
певица	12481	2576	1	1	0.69
пела	12481	2576	1	1	0.69
Ей	12481	2576	1	1	0.69
казалось	12481	2576	1	1	0.69
дешевую	12481	2576	1	1	0.69
шляпку	12481	2576	1	1	0.69
дырочки	12481	2576	1	1	0.69
ботинках	12481	2576	1	1	0.69
Чехов	12481	2576	1	1	0.69
шее	12481	2576	1	1	0.69
Хоть	12481	2576	1	1	0.69
суди	12481	2576	1	1	0.69
меня	12481	2576	1	1	0.69
аристократия	12481	2576	1	1	0.69
блеск	12481	2576	1	1	0.69
блистание	12481	2576	1	1	0.69
бомонд	12481	2576	1	1	0.69
бренный	12481	2576	1	1	0.69
быша	12481	2576	1	1	0.69
восход	12481	2576	1	1	0.69
вселенная	12481	2576	1	1	0.69
высшее	12481	2576	1	1	0.69
общество	12481	2576	1	1	0.69
высший	12481	2576	1	1	0.69
дольний	12481	2576	1	1	0.69
зарево	12481	2576	1	1	0.69
земля	12481	2576	1	1	0.69
земная	12481	2576	1	1	0.69
пайлер	12481	2576	1	1	0.69
пламень	12481	2576	1	1	0.69
планета	12481	2576	1	1	0.69
подлунная	12481	2576	1	1	0.69
сверкание	12481	2576	1	1	0.69
плача	12481	2576	1	1	0.69
скорби	12481	2576	1	1	0.69
словарях	12481	2576	1	1	0.69
иные	12481	2576	1	1	0.69
принимают	12481	2576	1	1	0.69
сотрясение	12481	2576	1	1	0.69
малейших	12481	2576	1	1	0.69
сущ	12481	2576	1	1	0.69
употр	12481	2576	1	1	0.69
наиб	12481	2576	1	1	0.69
Морфология	12481	2576	1	1	0.69
вижу	12481	2576	1	1	0.69
См	12481	2576	1	1	0.69
неделю	12481	2576	1	1	0.69
живет	12481	2576	1	1	0.69
бранить	12481	2576	1	1	0.69
выводить	12481	2576	1	1	0.69
каких	12481	2576	1	1	0.69
производил	12481	2576	1	1	0.69
мыкать	12481	2576	1	1	0.69
край	12481	2576	1	1	0.69
делающая	12481	2576	1	1	0.69
ЭЛЕКТРОМАГНИТНОЕ	12481	2576	1	1	0.69
ИЗЛУЧЕНИЕ	12481	2576	1	1	0.69
Сеетоощущениё	12481	2576	1	1	0.69
термину	12481	2576	1	1	0.69
придают	12481	2576	1	1	0.69
широкое	12481	2576	1	1	0.69
св	12481	2576	1	1	0.69
ете	12481	2576	1	1	0.69
ить	12481	2576	1	1	0.69
освещ	12481	2576	1	1	0.69
каждой	12481	2576	1	1	0.69
размещайте	12481	2576	1	1	0.69
камерой	12481	2576	1	1	0.69
Заполняющий	12481	2576	1	1	0.69
удаления	12481	2576	1	1	0.69
областей	12481	2576	1	1	0.69
распространялся	12481	2576	1	1	0.69
случае	12481	2576	1	1	0.69
рассеять	12481	2576	1	1	0.69
задний	12481	2576	1	1	0.69
типом	12481	2576	1	1	0.69
скрытый	12481	2576	1	1	0.69
дополнительный	12481	2576	1	1	0.69
мотивированный	12481	2576	1	1	0.69
Отражённый	12481	2576	1	1	0.69
Жёсткий	12481	2576	1	1	0.69
руку	12481	2576	1	1	0.69
иногда	12481	2576	1	1	0.69
таки	12481	2576	1	1	0.69
голубоватого	12481	2576	1	1	0.69
имитирующего	12481	2576	1	1	0.69
вашей	12481	2576	1	1	0.69
локации	12481	2576	1	1	0.69
будь	12481	2576	1	1	0.69
вывесок	12481	2576	1	1	0.69
рассеивателем	12481	2576	1	1	0.69
дополнить	12481	2576	1	1	0.69
причиной	12481	2576	1	1	0.69
бессонницы	12481	2576	1	1	0.69
Эволюционно	12481	2576	1	1	0.69
сложились	12481	2576	1	1	0.69
реакции	12481	2576	1	1	0.69
темноту	12481	2576	1	1	0.69
Наш	12481	2576	1	1	0.69
воспринимает	12481	2576	1	1	0.69
Нельзя	12481	2576	1	1	0.69
сказать	12481	2576	1	1	0.69
ситуациях	12481	2576	1	1	0.69
лучшим	12481	2576	1	1	0.69
разный	12481	2576	1	1	0.69
Однозначно	12481	2576	1	1	0.69
негативное	12481	2576	1	1	0.69
цветовая	12481	2576	1	1	0.69
действует	12481	2576	1	1	0.69
несчастными	12481	2576	1	1	0.69
организме	12481	2576	1	1	0.69
мелатонина	12481	2576	1	1	0.69
гормона	12481	2576	1	1	0.69
организованный	12481	2576	1	1	0.69
высвободить	12481	2576	1	1	0.69
дофамин	12481	2576	1	1	0.69
разные	12481	2576	1	1	0.69
актуальности	12481	2576	1	1	0.69
Максимально	12481	2576	1	1	0.69
приглушенный	12481	2576	1	1	0.69
похолоднее	12481	2576	1	1	0.69
3000	12481	2576	1	1	0.69
Наиболее	12481	2576	1	1	0.69
рабочей	12481	2576	1	1	0.69
зоной	12481	2576	1	1	0.69
будете	12481	2576	1	1	0.69
загораживать	12481	2576	1	1	0.69
заранее	12481	2576	1	1	0.69
границе	12481	2576	1	1	0.69
4500	12481	2576	1	1	0.69
подчеркнет	12481	2576	1	1	0.69
температуре	12481	2576	1	1	0.69
расслабляющее	12481	2576	1	1	0.69
санузле	12481	2576	1	1	0.69
сделали	12481	2576	1	1	0.69
RGB	12481	2576	1	1	0.69
подсветку	12481	2576	1	1	0.69
преимущества	12481	2576	1	1	0.69
двойного	12481	2576	1	1	0.69
Теория	12481	2576	1	1	0.69
взаимодействует	12481	2576	1	1	0.69
локальным	12481	2576	1	1	0.69
Рассеянный	12481	2576	1	1	0.69
располагается	12481	2576	1	1	0.69
снаружи	12481	2576	1	1	0.69
помещении	12481	2576	1	1	0.69
голубым	12481	2576	1	1	0.69
направленного	12481	2576	1	1	0.69
Контровой	12481	2576	1	1	0.69
Рефлекс	12481	2576	1	1	0.69
освещает	12481	2576	1	1	0.69
тусклее	12481	2576	1	1	0.69
Желто	12481	2576	1	1	0.69
тенями	12481	2576	1	1	0.69
примера	12481	2576	1	1	0.69
давай	12481	2576	1	1	0.69
поменяем	12481	2576	1	1	0.69
итоге	12481	2576	1	1	0.69
изменились	12481	2576	1	1	0.69
Красный	12481	2576	1	1	0.69
запомнить	12481	2576	1	1	0.69
одну	12481	2576	1	1	0.69
вещь	12481	2576	1	1	0.69
жесткое	12481	2576	1	1	0.69
правило	12481	2576	1	1	0.69
наиболее	12481	2576	1	1	0.69
освещенные	12481	2576	1	1	0.69
Этот	12481	2576	1	1	0.69
обычно	12481	2576	1	1	0.69
чистый	12481	2576	1	1	0.69
Зеленый	12481	2576	1	1	0.69
зеленый	12481	2576	1	1	0.69
ограниченную	12481	2576	1	1	0.69
зону	12481	2576	1	1	0.69
особенно	12481	2576	1	1	0.69
локальный	12481	2576	1	1	0.69
примерах	12481	2576	1	1	0.69
заметить	12481	2576	1	1	0.69
Добавь	12481	2576	1	1	0.69
слой	12481	2576	1	1	0.69
поверх	12481	2576	1	1	0.69
применить	12481	2576	1	1	0.69
